OrderID,Status,Date,Time,Cost,Item,
36,Complete,12/30/2024,12:58,14.5,"Fruit Tea, Classic Milk Tea",0
37,Complete,12/30/2024,20:36,7.5,Fruit Tea,0
38,Complete,12/30/2024,15:35,23,"Fruit Tea, Fruit Tea, Matcha Tea",0
39,Complete,12/30/2024,11:53,8,Taro Tea,0
40,Complete,12/30/2024,10:55,14.5,"Classic Milk Tea, Fruit Tea",0
41,Complete,12/30/2024,16:08,7.5,Fruit Tea,0
42,Complete,12/30/2024,18:55,14.5,"Fruit Tea, Classic Milk Tea",0
43,Complete,12/30/2024,11:24,23.5,"Fruit Tea, Taro Tea, Matcha Tea",0
44,Complete,12/30/2024,10:01,22,"Classic Milk Tea, Classic Milk Tea, Matcha Tea",0
45,Complete,12/30/2024,15:25,8,Taro Tea,0
46,Complete,12/30/2024,10:53,22,"Matcha Tea, Classic Milk Tea, Classic Milk Tea",0
47,Complete,12/30/2024,18:40,22,"Classic Milk Tea, Classic Milk Tea, Taro Tea",0
48,Complete,12/30/2024,16:39,23,"Fruit Tea, Matcha Tea, Fruit Tea",0
49,Complete,12/30/2024,14:31,15.5,"Taro Tea, Fruit Tea",0
50,Complete,12/30/2024,19:45,8,Taro Tea,0
51,Complete,12/30/2024,9:05,14.5,"Fruit Tea, Classic Milk Tea",0
52,Complete,12/30/2024,21:55,14,"Classic Milk Tea, Classic Milk Tea",0
53,Complete,12/30/2024,18:31,14,"Classic Milk Tea, Classic Milk Tea",0
54,Complete,12/30/2024,19:10,23,"Matcha Tea, Taro Tea, Classic Milk Tea",0
55,Complete,12/30/2024,13:27,8,Matcha Tea,0
56,Complete,12/30/2024,12:11,16,"Taro Tea, Matcha Tea",0
57,Complete,12/30/2024,13:10,7,Classic Milk Tea,0
58,Complete,12/30/2024,11:58,22.5,"Classic Milk Tea, Fruit Tea, Taro Tea",0
59,Complete,12/30/2024,15:11,7.5,Fruit Tea,0
60,Complete,12/30/2024,19:39,14.5,"Classic Milk Tea, Fruit Tea",0
61,Complete,12/30/2024,17:45,8,Matcha Tea,0
62,Complete,12/30/2024,9:14,8,Taro Tea,0
63,Complete,12/30/2024,11:21,15,"Fruit Tea, Fruit Tea",0
64,Complete,12/30/2024,12:07,22,"Fruit Tea, Fruit Tea, Classic Milk Tea",0
65,Complete,12/30/2024,14:31,7,Classic Milk Tea,0
66,Complete,12/30/2024,16:28,7,Classic Milk Tea,0
67,Complete,12/30/2024,10:19,15,"Classic Milk Tea, Taro Tea",0
68,Complete,12/30/2024,14:08,7.5,Fruit Tea,0
69,Complete,12/30/2024,19:19,15.5,"Fruit Tea, Taro Tea",0
70,Complete,12/30/2024,21:25,15,"Fruit Tea, Fruit Tea",0
71,Complete,12/30/2024,13:13,7.5,Fruit Tea,0
72,Complete,12/30/2024,11:16,8,Matcha Tea,0
73,Complete,12/30/2024,9:50,22.5,"Fruit Tea, Fruit Tea, Fruit Tea",0
74,Complete,12/30/2024,17:00,8,Matcha Tea,0
75,Complete,12/30/2024,9:56,23,"Matcha Tea, Taro Tea, Classic Milk Tea",0
76,Complete,12/30/2024,15:08,23,"Fruit Tea, Matcha Tea, Fruit Tea",0
77,Complete,12/30/2024,18:34,23,"Classic Milk Tea, Taro Tea, Taro Tea",0
78,Complete,12/30/2024,17:31,8,Matcha Tea,0
79,Complete,12/30/2024,17:01,8,Matcha Tea,0
80,Complete,12/30/2024,12:30,8,Matcha Tea,0
81,Complete,12/30/2024,13:49,15,"Classic Milk Tea, Taro Tea",0
82,Complete,12/30/2024,16:19,22,"Fruit Tea, Fruit Tea, Classic Milk Tea",0
83,Complete,12/30/2024,14:53,14,"Classic Milk Tea, Classic Milk Tea",0
84,Complete,12/30/2024,11:08,7,Classic Milk Tea,0
85,Complete,12/30/2024,21:02,8,Taro Tea,0
86,Complete,12/30/2024,9:59,14.5,"Classic Milk Tea, Fruit Tea",0
87,Complete,12/30/2024,18:44,23.5,"Taro Tea, Fruit Tea, Matcha Tea",0
88,Complete,12/30/2024,19:15,22.5,"Classic Milk Tea, Matcha Tea, Fruit Tea",0
89,Complete,12/30/2024,12:19,7,Classic Milk Tea,0
90,Complete,12/30/2024,18:45,23,"Matcha Tea, Classic Milk Tea, Matcha Tea",0
91,Complete,12/30/2024,19:23,22,"Classic Milk Tea, Classic Milk Tea, Matcha Tea",0
92,Complete,12/30/2024,15:04,22.5,"Taro Tea, Fruit Tea, Classic Milk Tea",0
93,Complete,12/30/2024,20:07,15.5,"Fruit Tea, Matcha Tea",0
94,Complete,12/30/2024,9:25,23,"Fruit Tea, Fruit Tea, Matcha Tea",0
95,Complete,12/30/2024,18:01,16,"Taro Tea, Taro Tea",0
96,Complete,12/30/2024,15:13,8,Matcha Tea,0
97,Complete,12/30/2024,10:25,14.5,"Classic Milk Tea, Fruit Tea",0
98,Complete,12/30/2024,12:54,15,"Taro Tea, Classic Milk Tea",0
99,Complete,12/30/2024,13:01,7,Classic Milk Tea,0
100,Complete,12/30/2024,9:16,8,Matcha Tea,0
101,Complete,12/30/2024,14:44,7,Classic Milk Tea,0
102,Complete,12/30/2024,12:39,8,Matcha Tea,0
103,Complete,12/30/2024,21:46,23.5,"Matcha Tea, Matcha Tea, Fruit Tea",0
104,Complete,12/30/2024,12:37,16,"Taro Tea, Taro Tea",0
105,Complete,12/30/2024,9:08,23.5,"Fruit Tea, Matcha Tea, Matcha Tea",0
106,Complete,12/30/2024,14:38,22,"Classic Milk Tea, Taro Tea, Classic Milk Tea",0
107,Complete,12/30/2024,11:00,15.5,"Fruit Tea, Taro Tea",0
108,Complete,12/30/2024,21:03,23,"Classic Milk Tea, Matcha Tea, Taro Tea",0
109,Complete,12/30/2024,19:44,14.5,"Fruit Tea, Classic Milk Tea",0
110,Complete,12/30/2024,14:58,23.5,"Fruit Tea, Matcha Tea, Matcha Tea",0
111,Complete,12/30/2024,10:50,7.5,Fruit Tea,0
112,Complete,12/30/2024,20:46,15.5,"Fruit Tea, Taro Tea",0
113,Complete,12/30/2024,15:14,16,"Matcha Tea, Matcha Tea",0
114,Complete,12/30/2024,14:17,24,"Taro Tea, Matcha Tea, Matcha Tea",0
115,Complete,12/30/2024,15:18,14.5,"Classic Milk Tea, Fruit Tea",0
116,Complete,12/30/2024,14:59,22,"Classic Milk Tea, Classic Milk Tea, Matcha Tea",0
117,Complete,12/30/2024,11:14,8,Matcha Tea,0
118,Complete,12/30/2024,9:08,7.5,Fruit Tea,0
119,Complete,12/30/2024,18:08,23,"Classic Milk Tea, Matcha Tea, Taro Tea",0
120,Complete,12/30/2024,11:47,8,Taro Tea,0
121,Complete,12/30/2024,15:52,14,"Classic Milk Tea, Classic Milk Tea",0
122,Complete,12/30/2024,16:31,7,Classic Milk Tea,0
123,Complete,12/30/2024,18:47,22.5,"Classic Milk Tea, Taro Tea, Fruit Tea",0
124,Complete,12/30/2024,19:57,23,"Classic Milk Tea, Taro Tea, Matcha Tea",0
125,Complete,12/30/2024,21:15,16,"Matcha Tea, Taro Tea",0
126,Complete,12/30/2024,19:39,14.5,"Classic Milk Tea, Fruit Tea",0
127,Complete,12/30/2024,20:28,16,"Matcha Tea, Taro Tea",0
128,Complete,12/30/2024,12:58,7,Classic Milk Tea,0
129,Complete,12/30/2024,11:03,22.5,"Fruit Tea, Classic Milk Tea, Taro Tea",0
130,Complete,12/30/2024,19:33,22.5,"Fruit Tea, Classic Milk Tea, Taro Tea",0
131,Complete,12/30/2024,19:04,16,"Taro Tea, Taro Tea",0
132,Complete,12/30/2024,10:26,8,Matcha Tea,0
133,Complete,12/30/2024,14:29,23,"Matcha Tea, Taro Tea, Classic Milk Tea",0
134,Complete,12/30/2024,21:37,8,Taro Tea,0
135,Complete,12/30/2024,15:29,15.5,"Matcha Tea, Fruit Tea",0
136,Complete,12/30/2024,15:59,16,"Taro Tea, Matcha Tea",0
137,Complete,12/30/2024,11:15,16,"Matcha Tea, Matcha Tea",0
138,Complete,12/30/2024,13:49,23,"Taro Tea, Classic Milk Tea, Matcha Tea",0
139,Complete,12/30/2024,21:20,22.5,"Classic Milk Tea, Fruit Tea, Taro Tea",0
140,Complete,12/30/2024,11:49,7.5,Fruit Tea,0
141,Complete,12/30/2024,18:40,23,"Taro Tea, Taro Tea, Classic Milk Tea",0
142,Complete,12/30/2024,19:16,8,Taro Tea,0
143,Complete,12/30/2024,16:47,15.5,"Taro Tea, Fruit Tea",0
144,Complete,12/30/2024,13:02,16,"Taro Tea, Taro Tea",0
145,Complete,12/30/2024,17:28,23.5,"Matcha Tea, Matcha Tea, Fruit Tea",0
146,Complete,12/30/2024,14:00,7.5,Fruit Tea,0
147,Complete,12/30/2024,19:13,7.5,Fruit Tea,0
148,Complete,12/30/2024,13:31,22,"Taro Tea, Classic Milk Tea, Classic Milk Tea",0
149,Complete,12/30/2024,15:15,24,"Taro Tea, Matcha Tea, Matcha Tea",0
150,Complete,12/30/2024,20:52,7.5,Fruit Tea,0
151,Complete,12/30/2024,11:27,24,"Taro Tea, Taro Tea, Matcha Tea",0
152,Complete,12/30/2024,11:53,15,"Classic Milk Tea, Matcha Tea",0
153,Complete,12/30/2024,16:29,23.5,"Fruit Tea, Matcha Tea, Matcha Tea",0
154,Complete,12/30/2024,9:16,23.5,"Fruit Tea, Taro Tea, Matcha Tea",0
155,Complete,12/31/2024,19:59,7,Classic Milk Tea,0
156,Complete,12/31/2024,17:36,23,"Taro Tea, Matcha Tea, Classic Milk Tea",0
157,Complete,12/31/2024,9:38,15,"Classic Milk Tea, Matcha Tea",0
158,Complete,12/31/2024,10:57,22,"Classic Milk Tea, Taro Tea, Classic Milk Tea",0
159,Complete,12/31/2024,18:35,7.5,Fruit Tea,0
160,Complete,12/31/2024,14:09,7.5,Fruit Tea,0
161,Complete,12/31/2024,20:25,23.5,"Matcha Tea, Taro Tea, Fruit Tea",0
162,Complete,12/31/2024,11:11,7,Classic Milk Tea,0
163,Complete,12/31/2024,13:59,22.5,"Classic Milk Tea, Fruit Tea, Taro Tea",0
164,Complete,12/31/2024,18:25,22.5,"Fruit Tea, Matcha Tea, Classic Milk Tea",0
165,Complete,12/31/2024,11:20,23.5,"Matcha Tea, Fruit Tea, Taro Tea",0
166,Complete,12/31/2024,20:49,22.5,"Matcha Tea, Classic Milk Tea, Fruit Tea",0
167,Complete,12/31/2024,15:50,23.5,"Taro Tea, Matcha Tea, Fruit Tea",0
168,Complete,12/31/2024,16:07,8,Matcha Tea,0
169,Complete,12/31/2024,19:37,22.5,"Matcha Tea, Classic Milk Tea, Fruit Tea",0
170,Complete,12/31/2024,12:37,23,"Fruit Tea, Matcha Tea, Fruit Tea",0
171,Complete,12/31/2024,15:52,7.5,Fruit Tea,0
172,Complete,12/31/2024,13:54,23,"Fruit Tea, Fruit Tea, Taro Tea",0
173,Complete,12/31/2024,21:04,22,"Classic Milk Tea, Matcha Tea, Classic Milk Tea",0
174,Complete,12/31/2024,14:50,8,Taro Tea,0
175,Complete,12/31/2024,10:41,22.5,"Matcha Tea, Fruit Tea, Classic Milk Tea",0
176,Complete,12/31/2024,18:04,16,"Matcha Tea, Matcha Tea",0
177,Complete,12/31/2024,18:33,15,"Classic Milk Tea, Matcha Tea",0
178,Complete,12/31/2024,11:45,8,Matcha Tea,0
179,Complete,12/31/2024,18:09,24,"Matcha Tea, Matcha Tea, Matcha Tea",0
180,Complete,12/31/2024,15:46,8,Taro Tea,0
181,Complete,12/31/2024,12:35,15,"Classic Milk Tea, Taro Tea",0
182,Complete,12/31/2024,14:12,7.5,Fruit Tea,0
183,Complete,12/31/2024,20:50,8,Taro Tea,0
184,Complete,12/31/2024,9:34,7,Classic Milk Tea,0
185,Complete,12/31/2024,14:06,8,Matcha Tea,0
186,Complete,12/31/2024,10:32,24,"Matcha Tea, Taro Tea, Taro Tea",0
187,Complete,12/31/2024,12:48,8,Taro Tea,0
188,Complete,12/31/2024,16:09,7,Classic Milk Tea,0
189,Complete,12/31/2024,14:52,15.5,"Matcha Tea, Fruit Tea",0
190,Complete,12/31/2024,12:22,23,"Matcha Tea, Classic Milk Tea, Matcha Tea",0
191,Complete,12/31/2024,20:22,15.5,"Fruit Tea, Taro Tea",0
192,Complete,12/31/2024,15:39,7.5,Fruit Tea,0
193,Complete,12/31/2024,13:28,23.5,"Matcha Tea, Matcha Tea, Fruit Tea",0
194,Complete,12/31/2024,15:48,23,"Taro Tea, Matcha Tea, Classic Milk Tea",0
195,Complete,12/31/2024,20:01,15.5,"Taro Tea, Fruit Tea",0
196,Complete,12/31/2024,12:18,23.5,"Matcha Tea, Fruit Tea, Matcha Tea",0
197,Complete,12/31/2024,14:10,8,Taro Tea,0
198,Complete,12/31/2024,11:11,23,"Matcha Tea, Fruit Tea, Fruit Tea",0
199,Complete,12/31/2024,21:58,16,"Matcha Tea, Taro Tea",0
200,Complete,12/31/2024,10:01,7.5,Fruit Tea,0
201,Complete,12/31/2024,14:25,23.5,"Taro Tea, Taro Tea, Fruit Tea",0
202,Complete,12/31/2024,17:53,7.5,Fruit Tea,0
203,Complete,12/31/2024,16:23,15,"Classic Milk Tea, Taro Tea",0
204,Complete,12/31/2024,11:49,8,Matcha Tea,0
205,Complete,12/31/2024,11:35,16,"Taro Tea, Taro Tea",0
206,Complete,12/31/2024,11:06,8,Taro Tea,0
207,Complete,12/31/2024,20:21,7.5,Fruit Tea,0
208,Complete,12/31/2024,12:25,8,Matcha Tea,0
209,Complete,12/31/2024,17:33,23,"Taro Tea, Matcha Tea, Classic Milk Tea",0
210,Complete,12/31/2024,20:28,24,"Taro Tea, Matcha Tea, Taro Tea",0
211,Complete,12/31/2024,20:57,22,"Fruit Tea, Classic Milk Tea, Fruit Tea",0
212,Complete,12/31/2024,19:32,7,Classic Milk Tea,0
213,Complete,12/31/2024,14:51,16,"Taro Tea, Taro Tea",0
214,Complete,12/31/2024,9:47,7.5,Fruit Tea,0
215,Complete,12/31/2024,13:05,7.5,Fruit Tea,0
216,Complete,12/31/2024,13:10,15.5,"Matcha Tea, Fruit Tea",0
217,Complete,12/31/2024,19:54,14,"Classic Milk Tea, Classic Milk Tea",0
218,Complete,12/31/2024,13:23,22.5,"Fruit Tea, Classic Milk Tea, Matcha Tea",0
219,Complete,12/31/2024,13:51,15,"Classic Milk Tea, Taro Tea",0
220,Complete,12/31/2024,13:25,16,"Matcha Tea, Matcha Tea",0
221,Complete,12/31/2024,11:28,8,Taro Tea,0
222,Complete,12/31/2024,12:56,8,Taro Tea,0
223,Complete,12/31/2024,13:48,7.5,Fruit Tea,0
224,Complete,12/31/2024,14:54,8,Taro Tea,0
225,Complete,12/31/2024,17:05,8,Matcha Tea,0
226,Complete,12/31/2024,13:21,7.5,Fruit Tea,0
227,Complete,12/31/2024,21:11,23,"Classic Milk Tea, Taro Tea, Matcha Tea",0
228,Complete,12/31/2024,17:00,23,"Matcha Tea, Classic Milk Tea, Taro Tea",0
229,Complete,12/31/2024,11:46,23.5,"Taro Tea, Taro Tea, Fruit Tea",0
230,Complete,12/31/2024,16:01,22,"Fruit Tea, Fruit Tea, Classic Milk Tea",0
231,Complete,12/31/2024,18:31,15,"Matcha Tea, Classic Milk Tea",0
232,Complete,12/31/2024,16:41,16,"Matcha Tea, Matcha Tea",0
233,Complete,12/31/2024,21:37,23.5,"Taro Tea, Taro Tea, Fruit Tea",0
234,Complete,12/31/2024,12:43,24,"Matcha Tea, Taro Tea, Matcha Tea",0
235,Complete,12/31/2024,15:22,7.5,Fruit Tea,0
236,Complete,12/31/2024,18:56,23,"Taro Tea, Fruit Tea, Fruit Tea",0
237,Complete,12/31/2024,19:06,7.5,Fruit Tea,0
238,Complete,12/31/2024,9:00,7.5,Fruit Tea,0
239,Complete,12/31/2024,12:03,8,Matcha Tea,0
240,Complete,12/31/2024,10:59,23,"Classic Milk Tea, Taro Tea, Matcha Tea",0
241,Complete,12/31/2024,11:28,7,Classic Milk Tea,0
242,Complete,12/31/2024,14:26,15,"Fruit Tea, Fruit Tea",0
243,Complete,12/31/2024,14:49,22.5,"Classic Milk Tea, Fruit Tea, Taro Tea",0
244,Complete,12/31/2024,14:19,22,"Fruit Tea, Classic Milk Tea, Fruit Tea",0
245,Complete,12/31/2024,19:56,22.5,"Taro Tea, Fruit Tea, Classic Milk Tea",0
246,Complete,12/31/2024,21:35,8,Taro Tea,0
247,Complete,12/31/2024,17:32,8,Taro Tea,0
248,Complete,12/31/2024,12:20,8,Taro Tea,0
249,Complete,12/31/2024,9:48,23,"Matcha Tea, Classic Milk Tea, Matcha Tea",0
250,Complete,12/31/2024,20:21,15,"Fruit Tea, Fruit Tea",0
251,Complete,12/31/2024,10:45,22,"Classic Milk Tea, Matcha Tea, Classic Milk Tea",0
252,Complete,12/31/2024,20:09,15.5,"Fruit Tea, Taro Tea",0
253,Complete,12/31/2024,19:59,8,Taro Tea,0
254,Complete,12/31/2024,21:25,8,Taro Tea,0
255,Complete,12/31/2024,11:18,15.5,"Fruit Tea, Taro Tea",0
256,Complete,12/31/2024,11:53,7.5,Fruit Tea,0
257,Complete,12/31/2024,11:04,23.5,"Fruit Tea, Taro Tea, Taro Tea",0
258,Complete,12/31/2024,12:48,15,"Classic Milk Tea, Matcha Tea",0
259,Complete,12/31/2024,19:50,15,"Classic Milk Tea, Matcha Tea",0
260,Complete,12/31/2024,17:35,21.5,"Classic Milk Tea, Fruit Tea, Classic Milk Tea",0
261,Complete,12/31/2024,13:16,15,"Matcha Tea, Classic Milk Tea",0
262,Complete,12/31/2024,11:46,23,"Matcha Tea, Matcha Tea, Classic Milk Tea",0
263,Complete,12/31/2024,11:45,15,"Classic Milk Tea, Matcha Tea",0
264,Complete,12/31/2024,20:43,7,Classic Milk Tea,0
265,Complete,12/31/2024,9:14,7.5,Fruit Tea,0
266,Complete,12/31/2024,18:53,7,Classic Milk Tea,0
267,Complete,12/31/2024,19:29,8,Matcha Tea,0
268,Complete,12/31/2024,13:38,8,Taro Tea,0
269,Complete,12/31/2024,13:55,23,"Matcha Tea, Classic Milk Tea, Matcha Tea",0
270,Complete,12/31/2024,16:08,8,Taro Tea,0
271,Complete,12/31/2024,16:04,14,"Classic Milk Tea, Classic Milk Tea",0
272,Complete,12/31/2024,19:39,14.5,"Fruit Tea, Classic Milk Tea",0
273,Complete,12/31/2024,9:28,16,"Matcha Tea, Matcha Tea",0
274,Complete,12/31/2024,17:36,22.5,"Classic Milk Tea, Taro Tea, Fruit Tea",0
275,Complete,12/31/2024,18:53,7,Classic Milk Tea,0
276,Complete,12/31/2024,12:38,7.5,Fruit Tea,0
277,Complete,12/31/2024,14:53,16,"Matcha Tea, Taro Tea",0
278,Complete,12/31/2024,17:11,16,"Taro Tea, Taro Tea",0
279,Complete,12/31/2024,17:26,15.5,"Fruit Tea, Taro Tea",0
280,Complete,12/31/2024,19:37,23,"Matcha Tea, Classic Milk Tea, Matcha Tea",0
281,Complete,12/31/2024,16:21,15.5,"Matcha Tea, Fruit Tea",0
282,Complete,12/31/2024,11:45,22.5,"Taro Tea, Fruit Tea, Classic Milk Tea",0
283,Complete,12/31/2024,11:50,8,Taro Tea,0
284,Complete,12/31/2024,14:43,14,"Classic Milk Tea, Classic Milk Tea",0
285,Complete,12/31/2024,16:22,8,Taro Tea,0
286,Complete,12/31/2024,13:37,15,"Matcha Tea, Classic Milk Tea",0
287,Complete,12/31/2024,19:34,23,"Fruit Tea, Taro Tea, Fruit Tea",0
288,Complete,12/31/2024,11:08,15,"Classic Milk Tea, Taro Tea",0
289,Complete,12/31/2024,19:20,7.5,Fruit Tea,0
290,Complete,12/31/2024,14:09,7,Classic Milk Tea,0
291,Complete,12/31/2024,18:35,15.5,"Taro Tea, Fruit Tea",0
292,Complete,12/31/2024,20:19,8,Taro Tea,0
293,Complete,12/31/2024,10:14,7,Classic Milk Tea,0
294,Complete,12/31/2024,9:13,23.5,"Taro Tea, Fruit Tea, Matcha Tea",0
295,Complete,12/31/2024,14:54,7.5,Fruit Tea,0
296,Complete,12/31/2024,15:53,15,"Taro Tea, Classic Milk Tea",0
297,Complete,12/31/2024,15:00,22.5,"Taro Tea, Fruit Tea, Classic Milk Tea",0
298,Complete,12/31/2024,9:07,7,Classic Milk Tea,0
299,Complete,12/31/2024,15:09,22.5,"Fruit Tea, Taro Tea, Classic Milk Tea",0
300,Complete,12/31/2024,17:29,14,"Classic Milk Tea, Classic Milk Tea",0
301,Complete,12/31/2024,15:03,15.5,"Matcha Tea, Fruit Tea",0
302,Complete,12/31/2024,20:01,8,Matcha Tea,0
303,Complete,12/31/2024,14:56,22.5,"Fruit Tea, Classic Milk Tea, Matcha Tea",0
304,Complete,12/31/2024,21:35,15,"Taro Tea, Classic Milk Tea",0
305,Complete,12/31/2024,18:40,15,"Taro Tea, Classic Milk Tea",0
306,Complete,12/31/2024,17:33,23,"Matcha Tea, Matcha Tea, Classic Milk Tea",0
307,Complete,12/31/2024,11:50,15.5,"Fruit Tea, Matcha Tea",0
308,Complete,12/31/2024,16:08,22,"Classic Milk Tea, Classic Milk Tea, Taro Tea",0
309,Complete,12/31/2024,20:02,16,"Taro Tea, Taro Tea",0
310,Complete,12/31/2024,21:26,8,Taro Tea,0
311,Complete,12/31/2024,11:56,8,Taro Tea,0
312,Complete,12/31/2024,15:05,8,Taro Tea,0
313,Complete,12/31/2024,21:27,23.5,"Matcha Tea, Matcha Tea, Fruit Tea",0
314,Complete,12/31/2024,11:03,23.5,"Fruit Tea, Taro Tea, Matcha Tea",0
315,Complete,12/31/2024,21:03,23,"Matcha Tea, Classic Milk Tea, Matcha Tea",0
316,Complete,12/31/2024,11:59,8,Taro Tea,0
317,Complete,12/31/2024,21:52,23.5,"Fruit Tea, Matcha Tea, Taro Tea",0
318,Complete,12/31/2024,18:49,15,"Classic Milk Tea, Taro Tea",0
319,Complete,12/31/2024,12:39,23,"Taro Tea, Fruit Tea, Fruit Tea",0
320,Complete,12/31/2024,18:43,7,Classic Milk Tea,0
321,Complete,12/31/2024,9:13,23.5,"Taro Tea, Fruit Tea, Matcha Tea",0
322,Complete,12/31/2024,21:18,8,Matcha Tea,0
323,Complete,12/31/2024,10:01,23,"Fruit Tea, Fruit Tea, Matcha Tea",0
324,Complete,12/31/2024,20:40,15,"Matcha Tea, Classic Milk Tea",0
325,Complete,12/31/2024,17:39,24,"Matcha Tea, Taro Tea, Matcha Tea",0
326,Complete,12/31/2024,14:41,14.5,"Fruit Tea, Classic Milk Tea",0
327,Complete,12/31/2024,11:19,14.5,"Classic Milk Tea, Fruit Tea",0
328,Complete,12/31/2024,15:56,23,"Classic Milk Tea, Matcha Tea, Taro Tea",0
329,Complete,12/31/2024,16:49,8,Matcha Tea,0
330,Complete,12/31/2024,11:46,15,"Taro Tea, Classic Milk Tea",0
331,Complete,12/31/2024,9:52,7,Classic Milk Tea,0
332,Complete,12/31/2024,16:19,15.5,"Taro Tea, Fruit Tea",0
333,Complete,12/31/2024,10:23,8,Taro Tea,0
334,Complete,12/31/2024,16:04,15.5,"Matcha Tea, Fruit Tea",0
335,Complete,12/31/2024,11:00,16,"Matcha Tea, Matcha Tea",0
336,Complete,12/31/2024,17:15,22.5,"Fruit Tea, Classic Milk Tea, Taro Tea",0
337,Complete,12/31/2024,20:11,23,"Classic Milk Tea, Matcha Tea, Taro Tea",0
338,Complete,12/31/2024,15:18,8,Taro Tea,0
339,Complete,12/31/2024,11:12,24,"Matcha Tea, Matcha Tea, Taro Tea",0
340,Complete,12/31/2024,15:17,23,"Matcha Tea, Classic Milk Tea, Matcha Tea",0
341,Complete,12/31/2024,10:11,8,Taro Tea,0
342,Complete,12/31/2024,14:34,7.5,Fruit Tea,0
343,Complete,12/31/2024,19:28,23,"Taro Tea, Fruit Tea, Fruit Tea",0
344,Complete,12/31/2024,9:17,7,Classic Milk Tea,0
345,Complete,12/31/2024,20:02,16,"Taro Tea, Taro Tea",0
346,Complete,12/31/2024,18:15,22.5,"Taro Tea, Classic Milk Tea, Fruit Tea",0
347,Complete,12/31/2024,16:02,15,"Fruit Tea, Fruit Tea",0
348,Complete,12/31/2024,14:24,8,Taro Tea,0
349,Complete,12/31/2024,18:47,15,"Matcha Tea, Classic Milk Tea",0
350,Complete,12/31/2024,17:24,8,Taro Tea,0
351,Complete,12/31/2024,12:16,7.5,Fruit Tea,0
352,Complete,12/31/2024,9:41,23.5,"Fruit Tea, Matcha Tea, Taro Tea",0
353,Complete,12/31/2024,14:55,15,"Classic Milk Tea, Matcha Tea",0
354,Complete,12/31/2024,10:24,22.5,"Fruit Tea, Fruit Tea, Fruit Tea",0
355,Complete,12/31/2024,13:22,22,"Classic Milk Tea, Classic Milk Tea, Taro Tea",0
356,Complete,12/31/2024,16:32,15,"Fruit Tea, Fruit Tea",0
357,Complete,12/31/2024,10:39,8,Taro Tea,0
358,Complete,12/31/2024,12:24,23,"Classic Milk Tea, Matcha Tea, Taro Tea",0
359,Complete,12/31/2024,10:51,16,"Matcha Tea, Taro Tea",0
360,Complete,12/31/2024,18:15,7,Classic Milk Tea,0
