Order_ID,Product_ID,Item_ID,Size,Sugar,Ice,Extra_Milk
17,3,17 1,Small,100,100,0
17,3,17 1,Bucees_Large,100,50,0
17,6,17 1,Large,50,50,0
17,24,17 1,Medium,75,75,0
17,8,17 1,Medium,50,100,1
18,9,18 1,Small,100,75,1
18,15,18 1,Small,75,0,1
19,17,19 1,Large,75,0,0
20,24,20 1,Large,75,0,0
21,16,21 1,Large,0,100,1
22,12,22 1,Bucees_Large,100,50,0
22,22,22 1,Bucees_Large,0,75,0
23,13,23 1,Large,0,75,0
23,16,23 1,Medium,50,100,0
23,22,23 1,Small,75,50,0
23,17,23 1,Large,50,0,0
23,9,23 1,Large,100,75,0
24,1,24 1,Bucees_Large,100,0,0
24,1,24 1,Large,100,100,1
24,24,24 1,Small,75,0,0
24,14,24 1,Medium,50,100,1
24,15,24 1,Medium,0,100,0
25,9,25 1,Medium,50,50,1
26,5,26 1,Medium,50,0,1
26,1,26 1,Medium,75,75,1
27,12,27 1,Large,75,50,0
27,9,27 1,Bucees_Large,75,50,1
27,19,27 1,Small,50,50,0
27,19,27 1,Bucees_Large,0,50,0
27,22,27 1,Medium,0,50,0
28,7,28 1,Medium,100,50,1
28,17,28 1,Medium,75,50,0
28,1,28 1,Large,100,75,0
28,11,28 1,Medium,0,0,1
29,25,29 1,Bucees_Large,75,0,0
29,7,29 1,Bucees_Large,75,50,1
29,18,29 1,Large,75,100,1
30,15,30 1,Bucees_Large,0,50,0
30,14,30 1,Bucees_Large,0,50,0
31,1,31 1,Small,0,50,1
31,15,31 1,Large,75,75,0
31,4,31 1,Small,0,50,0
31,13,31 1,Medium,75,75,1
32,18,32 1,Medium,50,50,0
32,14,32 1,Bucees_Large,50,75,0
32,5,32 1,Large,0,100,1
32,23,32 1,Bucees_Large,0,100,0
33,20,33 1,Bucees_Large,0,100,1
34,4,34 1,Large,0,100,0
34,11,34 1,Large,0,100,1
34,19,34 1,Medium,50,50,0
35,13,35 1,Medium,100,100,0
35,3,35 1,Large,75,75,1
35,14,35 1,Large,50,0,0
36,1,36 1,Medium,100,50,0
36,6,36 1,Bucees_Large,100,0,1
36,18,36 1,Small,0,75,1
37,1,37 1,Large,75,50,1
37,15,37 1,Large,50,0,0
37,8,37 1,Bucees_Large,75,50,1
37,6,37 1,Bucees_Large,100,75,1
38,22,38 1,Small,75,50,0
38,1,38 1,Bucees_Large,0,100,0
38,3,38 1,Bucees_Large,50,50,1
38,1,38 1,Medium,100,0,0
38,15,38 1,Small,50,0,1
39,12,39 1,Large,0,50,1
39,25,39 1,Bucees_Large,0,75,1
39,23,39 1,Small,75,100,0
39,22,39 1,Small,0,75,0
40,14,40 1,Large,0,0,1
40,11,40 1,Medium,0,0,1
40,11,40 1,Large,75,75,0
41,7,41 1,Small,100,75,1
41,3,41 1,Large,50,100,0
41,7,41 1,Large,75,0,1
41,11,41 1,Bucees_Large,75,100,1
41,10,41 1,Large,0,75,1
42,23,42 1,Bucees_Large,100,100,0
42,19,42 1,Bucees_Large,100,75,0
42,12,42 1,Medium,75,100,0
42,15,42 1,Bucees_Large,0,75,1
42,8,42 1,Large,75,0,0
43,13,43 1,Bucees_Large,0,50,1
43,22,43 1,Small,100,75,1
43,13,43 1,Bucees_Large,100,50,0
43,20,43 1,Small,50,0,1
44,23,44 1,Bucees_Large,100,0,0
45,7,45 1,Large,100,75,0
45,5,45 1,Medium,0,50,1
45,15,45 1,Bucees_Large,75,100,1
46,7,46 1,Medium,100,100,0
46,8,46 1,Bucees_Large,75,100,0
46,8,46 1,Bucees_Large,0,50,1
47,15,47 1,Large,0,0,1
47,25,47 1,Bucees_Large,100,0,1
47,20,47 1,Bucees_Large,100,100,0
48,3,48 1,Small,75,0,0
48,11,48 1,Bucees_Large,100,0,1
49,1,49 1,Large,100,0,1
50,7,50 1,Small,75,75,0
51,7,51 1,Small,75,100,0
51,3,51 1,Medium,100,100,1
52,21,52 1,Large,50,50,1
53,18,53 1,Bucees_Large,100,50,0
53,16,53 1,Large,75,100,0
53,6,53 1,Medium,0,75,0
53,8,53 1,Large,100,75,0
54,20,54 1,Large,0,0,1
54,20,54 1,Medium,0,100,1
54,21,54 1,Small,75,0,0
55,25,55 1,Medium,100,75,0
55,1,55 1,Large,50,50,1
56,4,56 1,Medium,0,50,0
57,3,57 1,Medium,100,50,0
57,20,57 1,Bucees_Large,100,0,0
57,5,57 1,Large,50,50,1
57,5,57 1,Small,75,50,1
58,22,58 1,Medium,100,75,0
58,9,58 1,Small,100,50,1
58,2,58 1,Large,50,75,0
58,10,58 1,Small,0,0,1
59,15,59 1,Medium,50,50,1
59,9,59 1,Small,75,50,1
59,5,59 1,Bucees_Large,0,50,1
59,22,59 1,Small,75,0,1
59,17,59 1,Bucees_Large,100,50,0
60,10,60 1,Small,100,75,1
61,24,61 1,Bucees_Large,75,75,0
61,4,61 1,Large,50,75,0
61,8,61 1,Small,100,75,1
62,23,62 1,Bucees_Large,75,100,1
62,9,62 1,Bucees_Large,75,50,0
62,15,62 1,Bucees_Large,100,100,1
62,1,62 1,Large,75,100,0
63,21,63 1,Medium,100,100,0
63,13,63 1,Medium,50,100,0
63,8,63 1,Bucees_Large,0,0,1
64,19,64 1,Medium,0,75,1
65,9,65 1,Small,0,75,1
66,9,66 1,Large,75,0,0
66,2,66 1,Large,100,0,0
66,16,66 1,Medium,75,0,0
66,2,66 1,Bucees_Large,0,75,0
66,9,66 1,Large,50,50,1
67,15,67 1,Bucees_Large,75,0,0
67,13,67 1,Large,0,100,1
67,18,67 1,Medium,100,50,1
67,9,67 1,Large,50,0,0
68,10,68 1,Bucees_Large,75,50,1
68,1,68 1,Medium,100,100,0
68,13,68 1,Small,100,0,1
69,2,69 1,Small,100,0,1
70,2,70 1,Medium,100,50,1
70,8,70 1,Large,50,50,1
70,15,70 1,Bucees_Large,0,75,1
71,25,71 1,Large,0,100,0
71,13,71 1,Medium,100,100,1
71,1,71 1,Bucees_Large,0,100,1
71,4,71 1,Medium,50,0,1
72,2,72 1,Bucees_Large,50,50,1
72,2,72 1,Large,75,50,1
72,5,72 1,Large,0,100,0
72,13,72 1,Bucees_Large,100,0,1
73,25,73 1,Medium,50,75,0
73,12,73 1,Medium,75,100,0
74,12,74 1,Bucees_Large,50,0,0
75,4,75 1,Bucees_Large,75,50,1
75,15,75 1,Large,0,75,0
75,11,75 1,Bucees_Large,0,100,0
76,13,76 1,Medium,50,100,0
76,20,76 1,Bucees_Large,50,50,0
76,4,76 1,Large,75,0,1
77,6,77 1,Large,50,100,1
78,9,78 1,Small,100,50,1
78,9,78 1,Large,0,50,1
78,19,78 1,Large,0,75,0
78,25,78 1,Large,100,100,0
78,6,78 1,Bucees_Large,75,75,1
79,20,79 1,Large,0,75,1
79,19,79 1,Bucees_Large,50,50,1
80,3,80 1,Small,100,100,0
80,5,80 1,Small,0,100,0
80,7,80 1,Medium,100,50,0
81,17,81 1,Medium,0,50,0
81,10,81 1,Large,100,50,0
81,2,81 1,Large,75,100,0
81,15,81 1,Medium,0,50,0
81,4,81 1,Bucees_Large,50,100,0
82,24,82 1,Medium,50,100,0
83,13,83 1,Small,50,100,1
83,7,83 1,Medium,50,100,1
83,13,83 1,Medium,75,100,1
83,2,83 1,Bucees_Large,100,50,1
84,4,84 1,Small,50,0,0
84,25,84 1,Medium,0,50,0
84,20,84 1,Large,50,100,1
84,10,84 1,Bucees_Large,0,75,1
85,8,85 1,Medium,0,50,0
85,25,85 1,Small,75,100,0
85,12,85 1,Bucees_Large,75,0,1
85,24,85 1,Small,50,75,1
86,19,86 1,Large,0,75,1
87,5,87 1,Bucees_Large,0,0,1
88,17,88 1,Large,100,75,0
88,13,88 1,Bucees_Large,0,75,0
88,10,88 1,Large,50,75,1
88,15,88 1,Medium,100,100,0
89,21,89 1,Bucees_Large,100,100,1
89,2,89 1,Bucees_Large,75,100,0
89,1,89 1,Large,50,50,1
89,19,89 1,Small,50,100,1
89,21,89 1,Large,75,0,1
90,8,90 1,Medium,0,50,0
90,17,90 1,Bucees_Large,0,100,1
90,17,90 1,Large,50,50,1
90,8,90 1,Large,0,50,0
91,17,91 1,Small,100,50,1
91,16,91 1,Bucees_Large,100,50,0
91,20,91 1,Large,75,75,1
91,18,91 1,Bucees_Large,100,75,1
92,9,92 1,Bucees_Large,75,75,0
92,12,92 1,Small,100,100,0
92,6,92 1,Small,100,100,1
92,1,92 1,Small,50,100,0
92,17,92 1,Bucees_Large,100,0,1
93,12,93 1,Bucees_Large,50,50,0
93,17,93 1,Medium,100,50,0
93,21,93 1,Bucees_Large,0,100,1
94,14,94 1,Small,50,50,1
94,7,94 1,Large,50,75,1
95,20,95 1,Small,75,50,1
95,5,95 1,Large,0,0,1
95,23,95 1,Large,50,50,1
96,15,96 1,Medium,75,100,1
96,7,96 1,Bucees_Large,100,100,0
97,9,97 1,Small,50,50,0
97,18,97 1,Small,100,100,1
97,1,97 1,Large,100,50,0
98,16,98 1,Medium,100,0,1
98,20,98 1,Bucees_Large,75,75,0
98,11,98 1,Medium,100,50,0
99,13,99 1,Medium,100,0,1
99,12,99 1,Large,50,100,1
100,6,100 1,Small,100,0,1
100,19,100 1,Medium,100,0,1
100,4,100 1,Medium,0,100,1
101,11,101 1,Medium,75,0,1
101,18,101 1,Medium,100,50,1
101,8,101 1,Large,75,0,0
101,13,101 1,Small,50,50,1
102,1,102 1,Large,75,50,0
102,7,102 1,Small,100,0,1
102,6,102 1,Large,75,100,1
102,13,102 1,Medium,75,100,1
103,1,103 1,Small,100,75,1
104,23,104 1,Small,0,50,1
105,24,105 1,Small,0,0,1
105,4,105 1,Medium,0,50,1
105,5,105 1,Large,100,100,1
105,6,105 1,Bucees_Large,50,100,1
105,4,105 1,Small,75,100,0
106,25,106 1,Medium,50,75,0
106,7,106 1,Medium,0,75,1
107,1,107 1,Medium,75,100,0
107,17,107 1,Small,100,50,0
108,10,108 1,Large,75,100,1
108,10,108 1,Large,50,75,0
108,16,108 1,Bucees_Large,0,0,1
108,1,108 1,Bucees_Large,0,100,0
108,13,108 1,Large,100,100,0
109,4,109 1,Medium,0,100,0
109,16,109 1,Bucees_Large,0,50,1
109,12,109 1,Small,50,0,0
110,6,110 1,Small,50,100,1
110,20,110 1,Large,75,50,0
110,22,110 1,Bucees_Large,0,75,1
110,18,110 1,Large,50,100,0
111,2,111 1,Small,75,0,1
111,6,111 1,Large,100,75,1
111,22,111 1,Large,0,50,0
111,22,111 1,Large,50,0,1
111,13,111 1,Medium,0,0,1
112,10,112 1,Medium,0,75,1
113,13,113 1,Large,50,50,0
113,17,113 1,Bucees_Large,75,50,0
114,22,114 1,Bucees_Large,100,0,1
114,4,114 1,Large,100,75,0
114,9,114 1,Small,75,75,1
115,23,115 1,Bucees_Large,75,100,0
115,6,115 1,Small,50,75,1
116,6,116 1,Small,0,50,1
116,21,116 1,Bucees_Large,50,75,0
117,12,117 1,Small,0,75,1
117,20,117 1,Bucees_Large,50,50,1
118,16,118 1,Small,100,0,0
118,16,118 1,Large,0,75,0
118,10,118 1,Large,100,75,0
118,2,118 1,Small,0,75,0
119,25,119 1,Bucees_Large,75,100,0
119,10,119 1,Bucees_Large,75,75,1
119,14,119 1,Medium,75,0,0
120,11,120 1,Medium,100,0,1
120,22,120 1,Medium,75,100,1
121,13,121 1,Large,0,50,1
122,13,122 1,Small,0,0,1
123,15,123 1,Bucees_Large,75,75,0
123,8,123 1,Medium,100,50,0
124,8,124 1,Large,100,100,0
124,16,124 1,Bucees_Large,50,100,1
125,19,125 1,Medium,75,50,1
125,4,125 1,Small,0,75,1
125,9,125 1,Small,75,50,1
125,11,125 1,Small,75,100,0
126,24,126 1,Bucees_Large,100,0,1
126,3,126 1,Bucees_Large,0,50,1
126,16,126 1,Small,100,100,0
127,14,127 1,Large,100,75,0
127,8,127 1,Small,100,75,1
127,11,127 1,Small,75,0,1
128,1,128 1,Small,50,75,1
128,16,128 1,Medium,100,0,1
128,15,128 1,Small,100,100,1
128,25,128 1,Small,75,50,1
128,25,128 1,Medium,50,50,0
129,3,129 1,Small,0,75,0
130,9,130 1,Medium,0,0,0
130,21,130 1,Large,75,50,0
130,3,130 1,Medium,100,100,1
130,25,130 1,Large,75,75,1
130,22,130 1,Large,75,100,1
131,20,131 1,Small,75,0,0
132,22,132 1,Large,50,50,0
133,1,133 1,Large,50,0,1
134,5,134 1,Medium,0,50,0
134,14,134 1,Large,75,100,1
134,19,134 1,Medium,50,75,1
134,14,134 1,Medium,0,50,0
135,7,135 1,Medium,75,75,1
136,8,136 1,Medium,75,75,1
136,8,136 1,Small,50,50,1
136,5,136 1,Medium,50,50,1
136,16,136 1,Large,0,75,1
137,3,137 1,Small,0,50,0
138,8,138 1,Large,100,50,1
138,18,138 1,Medium,0,0,1
138,7,138 1,Large,100,100,1
139,19,139 1,Bucees_Large,100,0,1
139,5,139 1,Medium,50,100,0
140,15,140 1,Medium,75,75,1
141,17,141 1,Small,50,0,0
141,24,141 1,Large,0,100,1
141,15,141 1,Medium,75,75,0
141,12,141 1,Bucees_Large,75,100,0
142,3,142 1,Medium,100,100,1
142,22,142 1,Bucees_Large,75,0,1
142,12,142 1,Small,75,0,1
143,5,143 1,Small,75,75,1
143,6,143 1,Small,75,100,0
143,18,143 1,Bucees_Large,50,50,0
144,2,144 1,Bucees_Large,50,100,0
144,7,144 1,Small,75,0,0
144,20,144 1,Small,75,75,1
145,8,145 1,Bucees_Large,100,0,1
146,19,146 1,Small,75,50,0
146,25,146 1,Large,75,50,0
146,16,146 1,Large,75,100,1
147,12,147 1,Medium,100,0,1
147,8,147 1,Medium,100,0,0
147,3,147 1,Large,0,100,1
147,20,147 1,Bucees_Large,0,0,0
148,13,148 1,Medium,75,50,1
148,17,148 1,Large,100,50,1
149,25,149 1,Bucees_Large,75,50,0
149,11,149 1,Small,100,0,0
149,18,149 1,Medium,100,100,0
150,17,150 1,Large,50,0,1
150,24,150 1,Large,50,50,1
151,7,151 1,Medium,50,75,1
151,23,151 1,Large,75,75,0
151,5,151 1,Small,75,75,1
151,3,151 1,Medium,50,75,0
152,10,152 1,Large,50,100,0
152,2,152 1,Large,0,100,1
152,12,152 1,Small,100,75,0
153,22,153 1,Medium,0,0,1
154,4,154 1,Medium,0,100,0
155,19,155 1,Medium,75,0,0
155,16,155 1,Small,0,50,0
155,22,155 1,Small,100,50,0
156,12,156 1,Bucees_Large,0,100,1
157,19,157 1,Medium,75,75,0
157,1,157 1,Small,50,100,0
157,3,157 1,Small,100,75,1
158,23,158 1,Medium,0,0,1
158,5,158 1,Large,50,75,1
158,6,158 1,Small,75,0,1
158,13,158 1,Bucees_Large,75,0,0
159,11,159 1,Medium,50,75,0
160,22,160 1,Medium,75,75,1
160,3,160 1,Small,0,50,0
160,23,160 1,Large,100,75,0
161,8,161 1,Bucees_Large,0,50,0
161,6,161 1,Medium,0,0,1
162,7,162 1,Bucees_Large,100,75,1
162,22,162 1,Bucees_Large,0,0,1
162,3,162 1,Bucees_Large,100,0,1
163,19,163 1,Bucees_Large,50,75,0
163,14,163 1,Small,0,75,1
163,18,163 1,Bucees_Large,0,0,0
163,17,163 1,Medium,75,0,0
163,11,163 1,Medium,100,75,1
164,14,164 1,Small,0,100,1
164,15,164 1,Bucees_Large,50,50,1
164,5,164 1,Medium,50,0,1
165,25,165 1,Bucees_Large,0,100,0
165,7,165 1,Large,0,75,0
165,15,165 1,Large,50,75,1
165,21,165 1,Medium,50,75,1
166,11,166 1,Bucees_Large,0,0,0
166,3,166 1,Medium,75,100,0
166,2,166 1,Small,75,100,1
167,9,167 1,Large,0,50,0
167,2,167 1,Small,0,50,1
167,25,167 1,Medium,75,0,1
167,14,167 1,Medium,50,0,0
167,13,167 1,Medium,75,50,1
168,15,168 1,Small,0,0,1
169,22,169 1,Medium,100,75,0
169,15,169 1,Small,50,100,0
169,20,169 1,Small,0,50,0
169,25,169 1,Large,50,0,0
169,24,169 1,Bucees_Large,0,100,0
170,14,170 1,Large,50,100,0
171,20,171 1,Bucees_Large,100,75,0
171,21,171 1,Medium,50,50,0
171,2,171 1,Small,50,100,1
172,7,172 1,Small,75,0,0
172,1,172 1,Small,50,0,1
172,23,172 1,Small,0,0,1
172,12,172 1,Medium,100,75,1
173,4,173 1,Medium,0,100,0
173,20,173 1,Large,75,50,1
174,2,174 1,Bucees_Large,75,100,0
175,9,175 1,Medium,75,75,0
175,11,175 1,Medium,0,0,1
175,13,175 1,Medium,0,50,1
175,15,175 1,Large,75,0,0
175,16,175 1,Small,100,75,1
176,18,176 1,Medium,100,50,0
177,10,177 1,Small,0,50,0
177,24,177 1,Bucees_Large,100,50,1
177,14,177 1,Medium,100,100,1
177,25,177 1,Small,75,100,0
178,6,178 1,Medium,75,100,1
178,9,178 1,Medium,75,0,1
178,22,178 1,Large,0,75,0
179,9,179 1,Bucees_Large,0,100,0
180,7,180 1,Small,75,0,1
180,25,180 1,Medium,0,75,0
180,22,180 1,Small,0,50,1
180,21,180 1,Medium,75,100,1
181,4,181 1,Bucees_Large,75,75,0
181,17,181 1,Large,0,75,1
181,15,181 1,Small,50,0,0
181,12,181 1,Medium,0,75,1
182,5,182 1,Medium,0,0,1
182,24,182 1,Small,50,0,0
182,4,182 1,Small,75,0,1
182,15,182 1,Medium,0,100,1
183,16,183 1,Medium,0,0,0
183,9,183 1,Small,100,50,1
184,1,184 1,Medium,0,75,1
184,16,184 1,Medium,100,75,1
184,17,184 1,Medium,100,75,1
185,1,185 1,Small,0,75,0
185,16,185 1,Large,0,75,0
185,17,185 1,Bucees_Large,0,75,1
186,10,186 1,Bucees_Large,100,50,1
186,15,186 1,Bucees_Large,75,0,0
187,24,187 1,Bucees_Large,100,75,0
188,3,188 1,Large,75,100,0
189,22,189 1,Bucees_Large,75,75,1
189,11,189 1,Medium,50,75,0
189,13,189 1,Bucees_Large,75,0,0
189,22,189 1,Large,0,100,1
189,11,189 1,Large,100,50,0
190,10,190 1,Bucees_Large,0,50,0
190,24,190 1,Large,100,75,1
191,10,191 1,Medium,0,50,1
192,6,192 1,Small,75,100,0
193,3,193 1,Medium,50,0,0
194,6,194 1,Small,50,0,0
194,11,194 1,Medium,100,0,1
195,3,195 1,Small,100,0,1
195,9,195 1,Small,75,50,0
195,4,195 1,Bucees_Large,0,75,0
196,9,196 1,Large,0,100,0
196,16,196 1,Medium,50,50,0
197,10,197 1,Medium,75,75,0
197,10,197 1,Medium,50,100,1
197,19,197 1,Medium,100,50,1
197,20,197 1,Bucees_Large,50,50,1
198,24,198 1,Large,50,50,1
198,17,198 1,Small,100,100,0
199,16,199 1,Small,100,0,0
200,24,200 1,Medium,100,100,1
200,3,200 1,Small,0,50,0
200,8,200 1,Bucees_Large,0,75,1
200,21,200 1,Bucees_Large,75,0,1
200,15,200 1,Bucees_Large,100,0,1
201,23,201 1,Small,75,50,0
201,25,201 1,Small,0,100,1
202,17,202 1,Small,0,75,0
202,22,202 1,Large,0,100,0
203,6,203 1,Bucees_Large,0,75,0
204,5,204 1,Small,75,75,0
205,18,205 1,Bucees_Large,50,100,1
205,18,205 1,Small,0,100,1
205,21,205 1,Small,0,0,1
206,21,206 1,Large,0,100,0
206,3,206 1,Small,100,50,0
206,8,206 1,Small,0,75,1
207,8,207 1,Small,50,75,1
207,17,207 1,Large,100,75,0
208,21,208 1,Small,75,50,0
208,12,208 1,Small,75,0,1
208,7,208 1,Small,75,75,0
209,15,209 1,Small,100,50,0
209,14,209 1,Bucees_Large,50,100,0
209,7,209 1,Large,75,75,0
210,5,210 1,Bucees_Large,100,0,1
210,11,210 1,Medium,75,50,1
210,20,210 1,Medium,100,0,1
210,18,210 1,Large,0,100,1
211,24,211 1,Large,50,0,0
211,8,211 1,Bucees_Large,100,50,1
211,20,211 1,Medium,100,0,1
211,20,211 1,Bucees_Large,100,50,0
212,23,212 1,Small,0,0,0
212,22,212 1,Bucees_Large,100,50,1
212,18,212 1,Large,0,50,1
213,2,213 1,Small,50,75,0
213,10,213 1,Medium,0,100,0
214,6,214 1,Medium,100,100,1
214,25,214 1,Bucees_Large,75,50,1
214,5,214 1,Medium,0,50,0
214,7,214 1,Medium,100,0,0
214,14,214 1,Bucees_Large,100,75,1
215,17,215 1,Small,50,50,1
216,16,216 1,Medium,50,0,0
216,3,216 1,Large,100,100,0
217,9,217 1,Bucees_Large,0,100,1
218,12,218 1,Bucees_Large,75,50,1
219,17,219 1,Small,75,100,0
220,22,220 1,Small,50,0,1
221,5,221 1,Small,100,0,0
221,21,221 1,Small,100,100,0
221,7,221 1,Medium,50,100,1
221,10,221 1,Bucees_Large,0,0,1
222,15,222 1,Bucees_Large,75,50,0
223,8,223 1,Bucees_Large,0,75,0
223,3,223 1,Small,0,100,0
224,14,224 1,Small,75,0,0
224,9,224 1,Large,75,100,0
224,3,224 1,Medium,100,50,0
224,11,224 1,Medium,100,75,0
224,6,224 1,Small,100,100,1
225,9,225 1,Bucees_Large,50,75,0
225,18,225 1,Medium,50,100,0
226,2,226 1,Small,75,100,0
226,23,226 1,Large,0,100,0
226,14,226 1,Small,75,75,1
226,25,226 1,Bucees_Large,75,0,0
226,19,226 1,Large,75,0,0
227,14,227 1,Bucees_Large,100,100,1
227,3,227 1,Large,100,0,0
228,20,228 1,Bucees_Large,50,100,0
228,24,228 1,Large,50,100,1
228,13,228 1,Bucees_Large,100,100,0
228,6,228 1,Small,0,0,1
229,15,229 1,Bucees_Large,50,0,1
229,8,229 1,Large,50,50,1
229,13,229 1,Medium,50,100,1
229,15,229 1,Small,50,100,1
229,4,229 1,Bucees_Large,0,75,0
230,5,230 1,Medium,75,50,0
230,16,230 1,Bucees_Large,50,100,0
231,15,231 1,Small,0,100,0
231,23,231 1,Medium,0,100,0
231,25,231 1,Bucees_Large,100,0,0
231,19,231 1,Medium,75,50,0
231,15,231 1,Medium,50,50,1
232,12,232 1,Small,50,50,1
232,14,232 1,Large,100,0,0
232,6,232 1,Small,100,100,0
232,3,232 1,Large,75,50,1
233,8,233 1,Medium,75,100,0
233,20,233 1,Small,50,100,0
233,12,233 1,Small,100,50,1
233,17,233 1,Medium,50,50,0
233,4,233 1,Large,100,50,0
234,24,234 1,Bucees_Large,100,100,1
234,12,234 1,Small,100,50,0
234,13,234 1,Small,100,0,0
234,10,234 1,Small,0,0,0
234,3,234 1,Bucees_Large,75,0,1
235,14,235 1,Small,100,50,0
235,19,235 1,Bucees_Large,100,100,0
235,3,235 1,Large,100,75,0
235,11,235 1,Bucees_Large,0,50,1
236,4,236 1,Medium,100,0,1
236,23,236 1,Bucees_Large,100,0,1
236,18,236 1,Large,100,50,1
236,16,236 1,Medium,0,75,0
237,24,237 1,Bucees_Large,75,50,1
238,6,238 1,Medium,50,0,0
238,21,238 1,Medium,0,100,0
238,10,238 1,Large,100,50,0
238,4,238 1,Large,0,0,0
239,21,239 1,Medium,50,75,0
239,6,239 1,Medium,0,75,1
239,20,239 1,Large,100,0,1
239,7,239 1,Large,0,0,1
240,17,240 1,Large,75,75,1
240,12,240 1,Large,100,100,1
240,16,240 1,Large,50,75,0
241,9,241 1,Large,0,75,1
242,16,242 1,Small,0,0,1
242,11,242 1,Medium,75,100,1
243,9,243 1,Medium,50,75,1
243,11,243 1,Small,100,100,1
243,11,243 1,Small,100,0,1
243,18,243 1,Small,100,0,0
244,3,244 1,Bucees_Large,50,100,0
244,5,244 1,Medium,0,50,0
244,5,244 1,Bucees_Large,100,0,1
245,1,245 1,Small,75,0,1
245,4,245 1,Small,0,0,1
245,1,245 1,Medium,75,100,1
246,9,246 1,Medium,100,75,1
246,24,246 1,Medium,50,50,0
247,24,247 1,Small,75,50,1
247,11,247 1,Bucees_Large,75,100,0
248,24,248 1,Bucees_Large,0,50,0
249,25,249 1,Bucees_Large,100,50,1
250,11,250 1,Large,0,50,1
250,15,250 1,Bucees_Large,100,50,1
250,6,250 1,Small,0,50,0
250,1,250 1,Large,75,75,0
250,16,250 1,Small,100,50,0
251,20,251 1,Small,50,0,0
251,1,251 1,Bucees_Large,50,75,1
251,8,251 1,Bucees_Large,75,0,0
252,11,252 1,Bucees_Large,100,0,0
252,3,252 1,Small,50,0,1
253,5,253 1,Bucees_Large,75,75,1
253,24,253 1,Bucees_Large,0,50,0
253,4,253 1,Small,50,0,0
253,13,253 1,Medium,75,75,0
253,18,253 1,Large,50,0,0
254,22,254 1,Medium,50,100,0
254,9,254 1,Medium,100,75,0
254,2,254 1,Small,100,0,1
254,23,254 1,Small,50,100,0
255,20,255 1,Medium,100,100,0
255,25,255 1,Large,75,50,1
256,6,256 1,Large,100,0,0
257,11,257 1,Large,100,100,1
257,22,257 1,Medium,100,0,0
258,1,258 1,Large,75,50,0
258,21,258 1,Large,100,75,0
258,23,258 1,Large,50,50,1
258,6,258 1,Large,75,75,1
258,11,258 1,Large,100,100,0
259,13,259 1,Large,100,75,0
259,2,259 1,Large,75,50,1
259,9,259 1,Medium,75,100,1
259,6,259 1,Bucees_Large,0,50,1
260,10,260 1,Small,75,0,1
260,10,260 1,Medium,0,100,0
260,25,260 1,Medium,100,100,0
260,21,260 1,Bucees_Large,100,75,1
260,10,260 1,Medium,0,0,1
261,7,261 1,Large,50,50,1
261,14,261 1,Large,75,75,1
262,4,262 1,Bucees_Large,50,50,0
262,24,262 1,Small,75,75,0
263,3,263 1,Large,75,100,0
263,21,263 1,Bucees_Large,75,75,1
263,8,263 1,Bucees_Large,100,0,1
263,22,263 1,Small,50,50,1
264,23,264 1,Large,100,75,1
265,7,265 1,Bucees_Large,100,75,1
